cod_est;fecha;cof_cierre
112;2024-12-31;0,31
112;2024-12-30;0,31
112;2024-12-27;0,23
112;2024-12-28;0,23
112;2024-11-28;0,23
112;2024-11-29;0,23
112;2024-11-30;0,23
112;2024-12-05;0,23
112;2024-12-06;0,23
112;2024-12-07;0,23
112;2024-12-13;0,23
112;2024-12-14;0,23
112;2024-12-20;0,23
112;2024-12-21;0,23
1001;2024-08-10;0,60
1001;2024-08-11;0,60
1001;2024-08-12;0,60
1001;2024-08-13;0,60
1001;2024-08-14;0,60
1001;2024-08-15;0,60
1001;2024-08-16;0,60
1001;2024-08-17;0,60
1001;2024-08-18;0,60
1002;2024-08-10;1,00
1002;2024-08-11;1,00
1002;2024-08-12;1,00
1002;2024-08-13;1,00
1002;2024-08-14;1,00
1002;2024-08-15;1,00
1002;2024-08-16;1,00
1002;2024-08-17;1,00
1002;2024-08-18;1,00
151;2024-08-10;0,10
151;2024-08-11;0,10
151;2024-08-12;0,10
151;2024-08-13;0,10
151;2024-08-14;0,10
151;2024-08-15;0,10
151;2024-08-16;0,10
151;2024-08-17;0,10
151;2024-08-18;0,10
1002;2024-08-03;0,10
1002;2024-08-04;0,10
1002;2024-08-05;0,10
1002;2024-08-06;0,10
1002;2024-08-07;0,10
1002;2024-08-08;0,10
1002;2024-08-09;0,10
1002;2024-08-19;0,10
1002;2024-08-20;0,10
1002;2024-08-21;0,10
1002;2024-08-22;0,10
1002;2024-08-23;0,10
1002;2024-08-24;0,10
1002;2024-08-25;0,10
1002;2024-08-26;0,10
1002;2024-08-27;0,10
1002;2024-08-28;0,10
1002;2024-08-29;0,10
1002;2024-08-30;0,10
1002;2024-08-31;0,10
1002;2024-09-01;0,10
1002;2024-09-02;0,10
1002;2024-09-03;0,10
112;2024-07-03;0,15
112;2024-07-04;0,15
112;2024-07-06;0,27
206;2024-07-06;0,37
405;2024-07-06;0,15
701;2024-11-28;1,00
701;2024-11-29;1,00
701;2024-11-30;1,00
701;2024-12-01;1,00
702;2024-11-28;1,00
702;2024-11-29;1,00
702;2024-11-30;1,00
702;2024-12-01;1,00
703;2024-11-28;1,00
703;2024-11-29;1,00
703;2024-11-30;1,00
703;2024-12-01;1,00
704;2024-11-28;1,00
704;2024-11-29;1,00
704;2024-11-30;1,00
704;2024-12-01;1,00
751;2024-11-28;1,00
751;2024-11-29;1,00
751;2024-11-30;1,00
751;2024-12-01;1,00
617;2024-12-18;0,03
618;2024-12-18;0,01
106;2024-12-18;0,02