Estación;cod_est;05/02/2024;06/02/2024;07/02/2024;08/02/2024;09/02/2024;10/02/2024;11/02/2024;10/06/2024;11/06/2024;12/06/2024;13/06/2024;14/06/2024;15/06/2024;16/06/2024;29/07/2024;30/07/2024;31/07/2024;01/08/2024;02/08/2024;03/08/2024;04/08/2024;11/11/2024;12/11/2024;13/11/2024;14/11/2024;15/11/2024;16/11/2024;17/11/2024
Abrantes;1102;3157;3168;3158;3129;3209;2284;1830;3184;3196;3190;3330;3299;2199;1788;2305;2308;2379;2432;2370;1909;1691;3396;3354;3357;3312;3445;2359;1946
Acacias;519;3730;3972;4125;4107;4573;3264;2745;3688;3815;4246;4124;4238;2910;2748;2477;2692;2671;2441;2365;1726;1852;4127;4256;4446;4450;4609;3578;3040
Aeropuerto T-4;808;6242;5681;5888;6127;6898;6104;5958;6974;6824;6736;7372;7635;6585;6592;6974;6824;6736;7372;7635;6585;6592;6976;6528;6748;8934;8008;6947;6886
Aeropuerto T1-T2-T3;806;7351;6059;6205;6739;8562;7183;7830;7702;7820;7734;7817;8360;7153;6738;7702;7820;7734;7817;8360;7153;6738;8275;6428;6539;7734;9029;7325;8043
Alameda de Osuna;552;4632;5005;5147;4881;4825;3102;1935;4428;4849;5143;4941;4975;3021;2167;3441;3604;3451;3141;3185;1800;1375;4755;4989;4845;4975;5328;3316;2115
Alfonso XIII;413;9566;10347;10259;9994;9742;4960;2983;8586;9471;9326;9641;8973;4687;3048;6085;6676;6409;5570;5118;2694;1847;10311;10946;10822;11019;10689;5152;3053
Almendrales;351;8172;8599;8575;8443;8873;8776;7271;8007;8643;8571;8876;8704;6366;5252;6347;6627;6729;6090;6286;4703;3931;9140;9282;9341;9267;9792;7068;5456
Alonso Cano;712;6364;6629;7225;6898;6625;3759;2045;5952;6356;6698;6226;6251;3099;2006;3744;4183;4053;3730;3282;1706;1188;6349;7026;7084;7023;6692;3713;2155
Alonso Martínez;404;17632;19149;19903;19903;19287;13227;8004;16665;18840;18851;18790;17599;10832;7480;11694;12795;12579;11086;10295;5576;3998;18344;20227;20240;20798;20263;13542;10251
Alsacia;253;6342;6524;6677;6624;6963;5751;4017;5859;6558;6548;6726;7154;5602;4463;4655;4909;5004;4685;4669;3882;3003;6774;7101;6768;7127;7597;6160;4694
Alto de Extremadura;627;8144;8594;8761;8451;8545;5441;4039;7625;8037;7828;8062;8287;5397;4586;5613;5801;5652;5465;5357;3723;2795;8803;8685;9134;9271;9235;5863;4217
Alto del Arenal;123;6801;7005;7045;7132;7301;5857;4093;6612;7203;7127;7345;7444;5747;4577;5550;5694;5643;5634;5784;4701;3763;7576;7768;7576;7785;8149;6327;4805
Aluche;527;18644;19387;19461;19080;19657;14782;9733;17816;18854;18968;19120;19835;14085;10687;14651;15147;15025;14746;14353;11340;8379;20358;20293;20002;20417;20887;15965;11086
Alvarado;105;6600;6933;7048;7376;7295;6509;4452;6645;7094;7185;7303;7365;5807;4532;4169;4184;5596;5532;5701;4553;3290;7087;7173;7245;7321;7794;6490;4687
Antón Martín;114;7929;8628;8585;9614;10488;8831;6497;8178;8405;8699;9106;9609;7586;6558;6052;6425;6449;6115;6259;4711;3850;8155;8459;9205;8718;9852;8834;6359
Antonio Machado;718;4390;4630;4934;4755;4916;3159;2017;4176;4496;4705;4597;4697;2812;2206;2835;2991;2891;2722;2580;1621;1209;4638;4918;4812;4930;5105;3332;2492
Arganzuela-Planetario;608;4259;4592;4636;4710;4341;2308;1656;4305;4620;4656;4808;4557;2031;1354;2555;2779;2754;2484;2130;986;767;4659;5288;5169;5200;4882;2269;1532
Argüelles;310;29457;30939;31472;32131;31246;20141;13207;25788;27084;27225;27108;26122;16569;11983;17231;18562;18436;16915;15424;9986;7269;30643;32149;32936;32788;32841;20728;14435
Arroyofresno;722;1200;1192;1234;1208;1183;578;271;1156;1204;1281;1191;1241;621;368;763;787;774;670;646;284;181;1227;1265;1222;1257;1332;646;354
Artilleros;917;7926;8262;8384;8182;8309;5578;3729;7538;8246;8094;8067;8222;5278;3979;5514;5725;5644;5373;5129;3587;2720;8300;8630;8464;8533;8742;5600;4804
Arturo Soria;415;7219;7522;7673;7574;7367;3620;2311;6817;7526;7387;7259;6832;3344;2335;4250;4506;4412;4084;3503;1876;1486;7883;8447;8327;8608;8582;4594;2438
Ascao;705;7994;8185;8602;8114;8209;5351;3612;7642;8071;8244;8009;8191;4742;3745;5737;6059;5972;5711;5496;3876;2967;8094;8237;8377;8313;8150;5180;3643
Atocha;116;22607;22276;23007;24127;25475;21587;19047;25546;25262;25708;26231;27841;21566;21438;22141;21375;20965;19719;21202;16570;15826;26850;26507;25941;26998;30536;23493;21185
Avenida de América;411;43940;45634;45902;45299;45870;23518;18285;40581;43383;42338;43061;41870;21794;18030;32749;33424;33165;30693;28559;16176;14105;44500;47120;46386;46783;46557;24908;19701
Avenida de Guadalajara;254;4350;4527;4633;4539;4774;3405;2363;3872;4328;4483;4689;4642;3345;2568;2805;2965;2947;2643;2645;2113;1682;4525;4803;4868;5049;5004;3626;2555
Avenida de la Ilustración;720;4457;4543;4988;4717;4580;2689;1795;4284;4703;4838;4720;4618;2424;1618;2938;3013;3151;2852;2728;1513;1168;4843;5113;5115;4978;4833;2682;1866
Avenida de la Paz;414;4012;4321;4386;4229;4080;1955;1166;3741;4092;4005;3985;3648;1745;1180;2382;2447;2453;2059;1820;1017;697;4350;4568;4630;4600;4254;2095;1307
Aviación Española;1018;5856;6034;6376;6148;6272;3501;2218;5039;5558;5616;5636;5638;3497;2506;3842;4170;4148;3854;3662;2475;1899;5662;5940;5788;5929;5994;3763;2621
Bambú;152;4051;4291;4299;4263;3657;1424;756;3721;4145;4089;3979;3410;1400;944;2823;3010;2983;2625;2243;842;599;4391;4741;4541;4378;3994;1575;933
Banco de España;206;8561;9499;9863;9916;10434;8626;7095;9146;10193;10590;10526;10709;8190;7045;7038;7863;7788;6563;6911;5847;4857;9279;10277;11085;9723;10501;9378;7213
Barajas;807;6829;7211;7249;7372;7344;5025;3269;6452;7174;7337;7384;7427;4529;3508;6452;7174;7337;7384;7427;4529;3508;7495;7801;7689;8107;8469;5316;3741
Barrio de la Concepción;707;8084;8631;8896;8369;8255;4831;3036;7705;8231;8565;8352;8422;4408;3567;5332;5555;5516;5051;5013;3005;2280;8261;8704;8703;8665;8746;5097;3302
Barrio del Pilar;902;9442;10223;10236;9988;10636;8155;5795;9370;10240;10357;10214;10390;7676;6139;7385;7805;7762;7493;6905;5834;4705;10342;10734;10836;10812;11436;8730;6502
Batán;1014;5332;5617;5641;5516;5648;4494;2985;4928;6549;6651;7084;7832;6265;5084;5501;5095;5179;4903;5466;3990;3278;5514;5715;5611;5652;6188;5202;4112
Begoña;1002;15582;16499;16985;16667;15456;6600;4640;12755;13663;13946;13699;12516;6232;4403;9087;9670;9584;8787;8418;2507;2025;14669;17503;17333;14368;15541;6114;4562
Bilbao;109;13165;14244;15137;15484;16320;13514;9449;12688;14010;14291;14331;14443;10712;8525;9348;10411;10433;9316;8889;6379;4990;13298;15080;14922;14921;16108;14166;9824
Buenos Aires;122;6136;5926;6100;5870;6576;4813;3360;5571;6037;6086;6112;6053;4783;3806;4383;4676;4660;4420;4311;3755;2943;6430;6505;6338;6312;6685;5048;3920
Callao;307;17786;18664;19489;20574;22697;26652;20110;17979;19771;20554;20038;22253;22455;18321;15994;16702;17093;16909;16742;17822;14135;19110;20751;19514;19607;24631;28762;20649
Campamento;529;7091;7274;7149;7195;7346;5026;3916;6425;6872;6861;6902;7058;4869;4041;4999;5202;5240;5123;4993;3957;3118;7586;7615;7358;7582;7806;5506;4151
Canal;214;9537;10216;11004;10660;10021;6826;4765;8904;9711;10451;10055;9896;5919;4733;5976;6252;6324;5677;4735;2815;2266;9846;10532;10672;10762;10545;7576;5297
Canillas;417;7440;7847;8002;7815;9747;6446;4008;6996;7857;7926;7651;7748;5099;3829;5152;5294;5495;4919;4615;3381;2527;7624;8183;7991;8303;8911;6544;4261
Canillejas;501;8012;8329;8718;8269;8726;6146;4215;7871;8646;9088;8858;9418;6611;5273;6857;7147;7182;6897;6720;4907;3946;8935;9161;9083;9204;9806;7072;5250
Carabanchel;525;8193;8346;8503;8282;8403;6166;4353;8141;8598;8489;8467;8906;5954;4646;6358;6636;6598;6380;6294;4817;3713;8718;9003;8880;8825;9317;6552;4963
Carabanchel Alto;1105;4092;4115;4232;4117;4182;2771;2344;3858;4048;4140;4045;4182;2707;2492;2928;3028;3078;3008;2904;2364;2069;4608;4652;4456;4691;4551;2927;2800
Carpetana;602;13310;13497;13621;13307;13702;9893;7486;12520;13293;13202;13530;13827;10218;7887;10248;10303;10270;9913;10207;7941;6075;14293;14495;14166;14555;14858;10491;7780
Cartagena;709;4875;5237;5634;5539;5111;2940;1930;5165;5532;6031;5687;5796;2853;2096;3587;3813;3754;3291;3064;1702;1323;5130;5509;5600;5481;5459;3180;1984
Casa de Campo;530;4635;4806;4771;4665;4740;3802;2426;4151;4849;5014;5114;5092;3748;3104;3393;3475;3490;3445;3273;2598;2151;4913;5077;4793;5059;5248;3908;3052
Chamartín;151;20865;20651;21388;21354;20754;13542;13500;21369;21033;20939;21087;21411;12600;13174;19764;18809;18068;15867;15960;10621;12363;22058;21799;22098;22633;22820;14400;13652
Chueca;513;5399;5911;6214;6541;7139;6589;4699;5731;6053;6376;6610;6936;5600;4101;4259;4579;4787;4385;4189;3674;2780;5659;5916;6528;6544;7009;6430;4505
Ciudad de los Ángeles;354;10152;10565;10614;10525;10660;7735;5564;9392;10268;10249;10313;10494;7330;5639;7369;7554;7617;7181;7301;5567;4254;10529;10839;10685;10861;11510;8056;5973
Ciudad Lineal;504;10722;11378;11451;11273;11343;7355;5104;10098;10818;10906;10788;10662;6894;5416;7716;8184;8264;7937;7363;5080;3980;11753;11738;12178;12039;12100;7738;5659
Ciudad Universitaria;622;23424;25720;25107;24727;19259;3209;2041;10536;11614;11414;11462;10318;3737;3479;4277;3753;4372;2721;2467;968;727;25945;26469;26308;26068;18762;5287;1720
Colombia;802;15238;16896;17589;17051;15119;7754;4935;13782;14534;15053;15034;13995;7456;5012;13782;14534;15053;15034;13995;7456;5012;15724;16780;16448;16703;15826;7670;5015
Colón;405;3905;4121;4402;4589;4268;2564;1789;3706;3963;4116;4151;3615;2074;1477;2715;2842;2808;2392;2336;1059;744;4052;4608;4755;4311;4132;2596;2517
Colonia Jardín;1016;21947;22710;23078;22393;22139;11850;7094;19336;20369;20262;19962;19619;11181;8145;13820;14629;14440;13246;12714;7482;5786;23570;24675;24372;24475;24423;12418;8424
Concha Espina;908;4947;5081;5130;5106;4873;3047;1571;4666;5092;5004;5064;4796;2270;1601;2772;2962;2831;2561;2254;1224;920;5289;5465;5556;5457;4943;2506;1669
Conde de Casal;611;20541;21509;21576;23629;21745;11725;7834;18812;20382;20654;20718;20427;10786;7868;14613;14793;14869;13482;13449;7722;5675;21441;22615;22706;22943;22850;12004;8162
Congosto;127;5087;5142;5022;5164;5379;3566;2315;4866;5373;5278;5291;5243;3155;2689;3736;3803;3800;3584;3558;2519;1985;5550;5501;5515;5629;5870;3808;2798
Cruz del Rayo;909;4060;4192;4521;4614;4275;2019;1986;4009;4719;4085;4317;3947;2565;1362;2510;2581;2622;2325;2046;1020;712;4553;4787;4891;4715;4183;2771;1987
Cuatro Caminos;106;23032;24324;24739;24636;25066;19750;13238;21361;23356;23233;23399;23852;18156;13602;15607;16924;17223;16196;16064;12676;9028;23840;24952;24828;25263;26656;20230;14289
Cuatro Vientos;1019;7693;8130;8457;7743;7557;4049;2477;7674;8000;7981;7943;7398;3915;2795;5510;5587;5544;5104;4916;2779;2082;8638;9210;9216;8935;8552;4498;3039
Cuzco;1005;12117;13176;13237;13417;11735;6838;3287;11822;12708;13010;12755;11756;5139;3548;8194;9353;9084;7993;7145;2928;1996;12680;13933;14193;13462;12302;5853;3579
Delicias;302;11075;11823;11987;11852;11969;9659;6936;10684;11609;11635;11689;11203;7521;5353;7809;8546;8443;7901;7410;5052;3788;12806;13624;13571;13435;14884;10796;7018
Diego de León;410;20807;21715;22023;22409;21580;12438;8593;19860;20532;20904;20621;19459;10744;7777;13828;14589;14627;13050;12164;6746;5313;20995;22224;22895;22704;21575;12446;8741
Duque de Pastrana;905;2493;2639;2605;2676;2611;1071;668;2498;2677;2703;2599;2260;1016;625;1275;1335;1302;1038;920;389;295;2878;2944;3081;3004;2559;1146;735
El Capricho;551;2273;2348;2378;2438;2432;1830;1187;2095;2378;2397;2471;2563;1857;1532;1457;1557;1445;1316;1310;1202;905;2388;2471;2424;2504;2724;2096;1490
El Carmen;507;10542;11217;11490;11454;11569;7979;5557;10743;11237;11329;11482;11740;7668;6131;8550;9031;9005;8496;8315;5749;4600;11279;11365;11813;11789;12161;8241;6168
Embajadores;304;21063;22318;22410;22551;22322;15145;11731;19166;20372;20551;20693;19925;13293;11282;13366;14075;14283;13166;12844;9190;8016;21526;23548;22881;22999;24239;15909;12809
Empalme;528;4358;4494;4522;4430;4572;3079;2120;3911;4243;4198;4283;4380;2939;2153;2811;2892;3087;2826;2805;2064;1538;4496;4558;4700;4645;4784;3263;2472
Esperanza;416;5904;6214;6121;5998;5989;3258;2062;5096;5453;5525;5545;5368;3084;2318;3137;3381;3292;2975;3031;1897;1382;6029;6286;5868;6352;6117;3145;2121
Estación del Arte;115;7445;6792;7706;7830;9313;8784;7001;7893;7380;8395;8569;9403;9092;7932;6405;5764;6483;6199;5459;5799;5358;7466;7033;7690;7381;9026;9403;7065
Estadio Metropolitano;751;1554;1444;17675;1335;1557;1221;860;1442;1906;18236;1875;19716;1196;1371;1249;1214;1173;1167;1065;765;641;1567;1561;1503;1722;1661;2156;765
Estrecho;104;16246;16742;17296;17464;18096;13361;9973;16108;16551;17100;17086;17563;12612;11808;11844;12347;12770;11653;11694;8735;6647;16553;17182;17558;17374;18512;13880;10871
Estrella;915;6247;6602;6674;6392;6668;4241;2998;5726;6109;6273;6151;6268;3895;3020;3957;4194;4207;3719;3506;2540;2120;6426;6653;6771;6735;6919;4181;2988
Eugenia de Montijo;526;4700;4929;5086;4892;4888;3577;2684;4338;4908;4983;4843;4935;3505;2909;3220;3308;3205;3181;3077;2484;2088;4926;5125;5044;5236;5420;3881;3029
Feria de Madrid;805;4707;8255;11204;10538;9002;6723;3732;3945;5055;5370;9867;11860;12108;6108;3945;5055;5370;9867;11860;12108;6108;3949;5319;5924;5995;5861;3172;2357
Francos Rodríguez;716;9058;9732;9932;9863;9980;5447;3845;8590;8631;9268;9136;9143;5577;4011;5203;5526;5517;5155;4806;2958;2371;10523;10889;10987;10888;10880;5380;3918
Fuencarral;1001;5461;5722;5833;5605;5736;3974;3053;5124;5461;5612;5667;5836;3640;2754;3996;4246;4289;4102;3889;2614;2058;5711;5832;5738;5936;6278;4068;3102
García Noblejas;704;8883;9110;10070;8934;8660;4031;2643;7988;8183;8579;8195;8125;3870;3043;5540;5781;5693;5188;4968;2816;2245;8225;8492;8715;8438;8076;3953;3010
Goya;203;19711;20945;21820;22621;23381;20322;12241;21421;21977;22164;22470;22222;17113;11944;15786;20094;20346;15735;14602;10794;7419;21005;23722;22494;24358;25120;19750;14212
Gran Vía;111;19897;20426;20749;22126;23327;26482;21138;19890;21506;22422;22421;24321;24280;20226;16621;17727;18197;18218;18070;18474;15300;22571;22922;23050;23300;26936;29088;23381
Gregorio Marañón;711;14735;16036;16279;15842;14181;7008;4238;13650;14324;15106;14740;13256;5699;3860;9123;9582;9368;8123;7121;3036;2156;15299;16701;16707;16470;14998;6817;4346
Guzmán el Bueno;620;12904;13157;14109;13232;12494;4971;3237;11596;11114;11986;11121;10646;4126;2798;6514;6434;6757;5561;5312;1963;1360;14144;14109;15445;13968;13329;4735;3072
Herrera Oria;901;5266;5549;5686;5562;5469;2924;1873;5177;5607;5498;5501;5400;2611;2002;3282;3381;3382;2833;2725;1310;1069;5443;5744;5627;5807;5837;2826;2084
Hortaleza;421;5072;5060;5100;4849;5089;3233;2227;4497;4675;4560;4904;4908;3118;2312;3364;3456;3505;3321;3156;2462;1958;5395;5306;5413;5553;5635;3472;2436
Hospital 12 de Octubre;352;7760;7836;7828;7976;7734;6166;3228;7386;7901;7798;7570;7317;4031;3495;5698;5772;5976;5543;5314;3123;2653;8093;8182;8070;7797;7596;4065;3330
Ibiza;913;5106;5435;5668;5495;5225;3962;2789;5688;6573;7736;7786;8347;8276;6989;3692;3886;4047;3620;3281;2528;2087;5272;5568;5545;5599;5676;4246;3734
Iglesia;108;11416;12138;12220;12739;12356;7824;5471;10973;11667;11867;11562;11454;7079;5258;7235;8044;7843;6989;6423;3809;3162;11700;12418;12697;12314;12606;8245;5419
Islas Filipinas;714;15345;16384;17140;16419;14947;6672;4560;13417;13704;13852;13775;12252;5536;4162;7702;8311;8069;7007;6189;2720;2052;16077;17230;17427;16905;15731;7350;4661
La Almudena;252;4005;4292;4400;4257;4616;3524;2616;3856;4264;4433;4449;4723;3704;2837;3165;3296;3256;3104;3136;2638;1957;4399;4355;4354;4486;4918;3952;3040
La Elipa;251;9191;9460;9813;9926;9941;8081;5636;8964;9591;9621;9834;10147;8108;6230;7096;7379;7493;7090;7073;5949;4462;9791;10132;9879;10322;11011;8843;6524
La Gavia;128;4151;4180;4296;4175;4275;2903;1759;3991;4324;4403;4347;4358;2579;1977;2856;3020;3036;2875;2713;1813;1307;4490;4565;4654;4688;5000;3025;1951
La Latina;517;8590;9332;9698;10081;11370;10832;11354;8618;9164;9827;9798;11208;9207;10595;6311;6886;7135;6727;6719;5766;7421;8412;9232;9646;9721;10824;10158;10538
La Peseta;1106;3308;3450;3534;3594;3513;2361;1727;3387;3705;3482;3675;3629;2187;1784;2337;2532;2428;2410;2294;1604;1374;3783;3922;3841;3906;4041;2449;1856
Lacoma;721;3417;3556;3680;3639;3600;2301;1457;3084;3417;3538;3481;3602;2096;1405;2155;2248;2195;2015;1827;1190;836;3346;3612;3428;3616;3605;2255;1534
