CÃ³digo_es,hog_pond,pob_pond,edad_pond,pe_hog_pon,renper_pon,renhog_pon,dens_pond,por15_pon,por65_pon,por1664pon,poresp_pon,porext_pon,poractivid,poract_pon,%1mujsol_p,%1hactsolp,%1mujmay_p,%1hommay_p,%1mujmad_p,%1hompad_p,%2adusol_p,%2adusma_p,%2adumen_p,%2adu2mn_p,%2adu3mn_p,%2adu1jv_p,%2a1jv1m_p,%2a1jv2m_p,%3adul_pon,%2ad2jv_p,%2a2j1m_p,%2a2j2m_p,%4adulto_p,%5adulto_p,%15perso_p,%menas_p
"617","516","1466",43.646,2.950,32863.592,91994.056,358.355,0.149,0.220,0.626,0.941,0.054,3.752,0.466,0.094,0.104,0.082,0.035,0.010,0.004,0.088,0.132,0.032,0.036,0.025,0.039,0.009,0.010,0.087,0.032,0.007,0.004,0.048,0.108,0.004,0.002
"618","692","1595",44.279,2.474,32659.785,81114.882,293.189,0.124,0.215,0.652,0.862,0.132,5.383,0.485,0.132,0.114,0.101,0.036,0.013,0.004,0.108,0.133,0.035,0.036,0.016,0.036,0.009,0.007,0.075,0.026,0.004,0.002,0.038,0.062,0.001,0.000
"1006","676","1555",42.644,2.452,32464.589,80102.141,368.499,0.127,0.186,0.671,0.841,0.144,7.635,0.499,0.123,0.113,0.100,0.034,0.010,0.003,0.103,0.128,0.033,0.036,0.016,0.038,0.006,0.005,0.085,0.039,0.002,0.001,0.038,0.052,0.000,0.000
"908","608","1561",42.680,2.627,29077.336,77727.701,350.432,0.147,0.215,0.613,0.921,0.052,7.035,0.457,0.087,0.076,0.101,0.032,0.014,0.004,0.092,0.152,0.043,0.044,0.018,0.041,0.013,0.009,0.096,0.036,0.007,0.001,0.042,0.058,0.001,0.001
"412","672","1404",43.428,2.179,23067.408,51340.413,356.554,0.149,0.219,0.624,0.934,0.056,13.132,0.466,0.136,0.113,0.123,0.034,0.016,0.001,0.141,0.132,0.042,0.036,0.004,0.038,0.006,0.000,0.070,0.027,0.002,0.000,0.030,0.029,0.000,0.000
"413","669","1575",42.769,2.403,26220.090,65969.466,351.151,0.145,0.217,0.615,0.921,0.054,8.442,0.456,0.093,0.090,0.106,0.034,0.016,0.004,0.112,0.144,0.043,0.047,0.011,0.049,0.010,0.007,0.083,0.037,0.003,0.001,0.036,0.038,0.000,0.000
"414","637","1592",45.158,2.555,28034.215,71777.369,300.814,0.130,0.255,0.602,0.937,0.053,6.306,0.449,0.079,0.083,0.103,0.031,0.019,0.006,0.109,0.147,0.051,0.051,0.016,0.051,0.014,0.007,0.083,0.045,0.008,0.001,0.036,0.047,0.000,0.000
"802","665","1564",42.593,2.381,27606.789,68668.118,349.711,0.147,0.214,0.613,0.920,0.051,8.911,0.454,0.105,0.087,0.114,0.034,0.015,0.005,0.103,0.139,0.046,0.052,0.016,0.035,0.011,0.006,0.080,0.034,0.004,0.000,0.031,0.043,0.000,0.000
"1005","634","1497",42.767,2.454,33453.033,86913.190,368.448,0.131,0.189,0.670,0.849,0.138,8.723,0.497,0.102,0.104,0.111,0.042,0.010,0.002,0.095,0.148,0.039,0.040,0.017,0.043,0.011,0.008,0.084,0.040,0.003,0.000,0.033,0.053,0.000,0.000
"101","684","1547",41.553,2.244,25274.078,60872.442,359.442,0.125,0.179,0.653,0.819,0.141,8.179,0.489,0.135,0.123,0.101,0.043,0.012,0.003,0.124,0.108,0.031,0.027,0.011,0.036,0.006,0.007,0.069,0.027,0.004,0.000,0.033,0.054,0.001,0.000
"906","650","1810",42.593,2.860,31722.762,87687.915,349.712,0.148,0.215,0.612,0.919,0.052,4.690,0.454,0.092,0.085,0.075,0.034,0.017,0.005,0.076,0.121,0.038,0.058,0.035,0.036,0.015,0.014,0.091,0.035,0.007,0.002,0.043,0.085,0.000,0.000
"905","691","1943",43.208,2.887,32828.235,90601.358,354.753,0.149,0.217,0.620,0.931,0.054,3.752,0.461,0.096,0.088,0.077,0.034,0.015,0.008,0.089,0.122,0.040,0.051,0.040,0.040,0.011,0.014,0.083,0.045,0.009,0.000,0.039,0.077,0.003,0.000
"152","623","1551",44.636,2.581,27703.167,72024.397,335.342,0.144,0.236,0.620,0.944,0.056,4.143,0.462,0.105,0.097,0.080,0.030,0.012,0.004,0.119,0.136,0.043,0.044,0.027,0.061,0.010,0.007,0.084,0.050,0.007,0.001,0.030,0.044,0.001,0.001
"151","621","1489",43.313,2.438,26850.388,66062.864,356.497,0.147,0.216,0.622,0.929,0.059,4.840,0.466,0.116,0.106,0.088,0.033,0.012,0.005,0.132,0.123,0.043,0.045,0.024,0.046,0.009,0.005,0.078,0.040,0.005,0.000,0.032,0.040,0.001,0.000
"1002","602","1392",38.194,2.416,24307.566,59678.554,158.092,0.226,0.119,0.656,0.884,0.115,4.928,0.490,0.094,0.093,0.089,0.033,0.012,0.003,0.123,0.174,0.046,0.038,0.016,0.060,0.012,0.004,0.089,0.036,0.004,0.001,0.032,0.038,0.000,0.000
"620","665","1558",44.416,2.448,27282.107,66035.590,182.904,0.129,0.212,0.657,0.892,0.105,7.452,0.490,0.101,0.113,0.121,0.036,0.014,0.002,0.115,0.140,0.035,0.043,0.012,0.046,0.008,0.002,0.078,0.034,0.005,0.000,0.030,0.042,0.003,0.000
"105","620","1371",41.515,2.224,16408.578,37818.231,355.261,0.108,0.157,0.696,0.749,0.215,16.132,0.523,0.141,0.137,0.100,0.031,0.013,0.000,0.146,0.091,0.040,0.027,0.001,0.038,0.008,0.000,0.062,0.022,0.001,0.000,0.035,0.057,0.000,0.000
"106","610","1325",43.021,2.166,19777.259,44926.339,231.063,0.108,0.206,0.638,0.789,0.164,12.744,0.477,0.137,0.127,0.107,0.036,0.012,0.000,0.133,0.105,0.038,0.030,0.005,0.035,0.009,0.000,0.064,0.022,0.001,0.000,0.033,0.047,0.000,0.000
"104","636","1431",41.800,2.335,16792.503,40057.935,379.174,0.109,0.154,0.715,0.750,0.228,15.232,0.532,0.127,0.123,0.102,0.030,0.015,0.001,0.145,0.104,0.042,0.027,0.000,0.043,0.008,0.000,0.069,0.025,0.001,0.000,0.035,0.057,0.000,0.000
"716","549","1269",40.504,2.372,20344.138,47511.294,308.286,0.135,0.135,0.703,0.836,0.137,10.246,0.524,0.096,0.101,0.115,0.038,0.018,0.002,0.120,0.143,0.041,0.039,0.006,0.054,0.009,0.001,0.078,0.033,0.003,0.000,0.028,0.035,0.002,0.000
"103","684","1468",41.927,2.222,19049.851,43378.328,380.339,0.109,0.155,0.717,0.753,0.228,13.056,0.534,0.149,0.138,0.095,0.033,0.012,0.000,0.155,0.104,0.039,0.024,0.001,0.035,0.006,0.001,0.067,0.021,0.001,0.000,0.030,0.046,0.000,0.000
"102","667","1384",42.055,2.152,19567.683,43149.394,381.502,0.110,0.154,0.720,0.757,0.227,11.968,0.537,0.150,0.136,0.099,0.042,0.014,0.002,0.149,0.106,0.036,0.023,0.001,0.036,0.007,0.002,0.063,0.021,0.001,0.000,0.031,0.044,0.000,0.000
"903","698","1669",42.229,2.438,14193.576,34119.628,383.051,0.110,0.157,0.722,0.758,0.230,9.792,0.536,0.118,0.124,0.083,0.032,0.018,0.002,0.149,0.102,0.040,0.028,0.006,0.051,0.010,0.004,0.078,0.029,0.006,0.003,0.039,0.052,0.002,0.000
"902","497","1174",35.518,2.403,20409.543,48787.030,68.465,0.258,0.062,0.682,0.835,0.166,14.710,0.513,0.070,0.065,0.129,0.039,0.008,0.002,0.100,0.217,0.043,0.036,0.006,0.053,0.010,0.001,0.099,0.033,0.001,0.000,0.039,0.029,0.001,0.000
"718","648","1527",37.184,2.367,19570.656,47482.645,158.740,0.202,0.091,0.684,0.870,0.105,9.436,0.508,0.081,0.082,0.101,0.037,0.020,0.003,0.116,0.156,0.061,0.058,0.008,0.057,0.013,0.003,0.077,0.040,0.002,0.000,0.027,0.026,0.000,0.000
"717","627","1446",40.369,2.406,18451.877,44881.354,262.052,0.155,0.124,0.709,0.917,0.072,9.088,0.529,0.083,0.088,0.112,0.030,0.017,0.003,0.128,0.133,0.058,0.057,0.010,0.059,0.017,0.001,0.076,0.041,0.001,0.000,0.027,0.031,0.000,0.000
"311","516","1252",42.037,2.515,25174.343,58395.799,199.706,0.138,0.175,0.662,0.893,0.082,9.672,0.492,0.110,0.108,0.117,0.039,0.011,0.000,0.112,0.161,0.033,0.028,0.004,0.045,0.008,0.001,0.075,0.042,0.002,0.000,0.030,0.035,0.005,0.000
"714","517","1200",46.695,2.450,28013.525,68060.890,112.039,0.114,0.267,0.615,0.890,0.105,12.234,0.461,0.110,0.101,0.124,0.039,0.008,0.001,0.104,0.158,0.034,0.037,0.010,0.044,0.004,0.003,0.084,0.039,0.002,0.000,0.032,0.046,0.002,0.000
"214","632","1279",45.542,2.041,23502.141,50797.292,90.026,0.103,0.273,0.576,0.849,0.106,11.250,0.430,0.148,0.130,0.113,0.033,0.009,0.001,0.137,0.112,0.036,0.030,0.004,0.039,0.005,0.000,0.064,0.023,0.002,0.000,0.027,0.028,0.000,0.000
"712","564","1158",46.015,2.107,25406.569,56686.450,90.970,0.102,0.272,0.581,0.860,0.105,13.500,0.434,0.159,0.132,0.109,0.033,0.011,0.000,0.136,0.107,0.038,0.030,0.004,0.036,0.004,0.000,0.062,0.023,0.001,0.000,0.027,0.029,0.000,0.000
"107","617","1264",46.640,2.127,25230.159,55317.322,92.197,0.107,0.278,0.590,0.869,0.109,11.250,0.440,0.146,0.127,0.117,0.035,0.009,0.001,0.133,0.121,0.038,0.032,0.005,0.039,0.006,0.000,0.069,0.026,0.002,0.000,0.026,0.031,0.000,0.000
"108","523","1103",46.305,2.166,26334.469,60140.997,91.532,0.105,0.275,0.587,0.865,0.106,13.500,0.441,0.155,0.135,0.102,0.036,0.012,0.001,0.133,0.112,0.035,0.029,0.006,0.036,0.003,0.001,0.064,0.023,0.000,0.000,0.031,0.030,0.001,0.000
"621","485","1340",42.365,2.971,28590.078,71449.183,221.721,0.147,0.162,0.690,0.921,0.078,3.486,0.513,0.091,0.104,0.111,0.037,0.012,0.001,0.079,0.194,0.033,0.031,0.004,0.060,0.010,0.004,0.081,0.043,0.009,0.000,0.019,0.056,0.014,0.000
"720","520","1232",33.305,2.324,17392.185,42152.697,20.482,0.267,0.047,0.654,0.816,0.152,12.072,0.491,0.075,0.073,0.124,0.031,0.018,0.002,0.113,0.163,0.047,0.044,0.006,0.062,0.012,0.002,0.081,0.037,0.002,0.000,0.036,0.029,0.000,0.000
"721","500","1335",33.892,2.635,20535.629,55625.561,20.841,0.273,0.046,0.665,0.830,0.155,8.048,0.498,0.058,0.061,0.093,0.034,0.021,0.004,0.096,0.169,0.045,0.052,0.018,0.082,0.017,0.008,0.080,0.064,0.006,0.000,0.034,0.039,0.000,0.000
"719","607","1421",33.894,2.333,18882.687,45145.093,20.841,0.272,0.049,0.663,0.832,0.153,15.593,0.498,0.088,0.084,0.114,0.033,0.016,0.004,0.130,0.156,0.054,0.043,0.006,0.058,0.010,0.001,0.077,0.033,0.001,0.000,0.034,0.025,0.000,0.000
"901","444","1285",34.201,2.979,27145.559,74475.462,21.029,0.275,0.049,0.673,0.839,0.155,8.048,0.501,0.037,0.039,0.106,0.033,0.012,0.003,0.059,0.210,0.033,0.063,0.023,0.060,0.014,0.006,0.109,0.060,0.010,0.004,0.042,0.071,0.002,0.001
"1001","541","1374",33.684,2.560,12924.239,33781.855,20.712,0.273,0.046,0.663,0.826,0.153,6.036,0.494,0.074,0.091,0.110,0.028,0.018,0.002,0.121,0.125,0.039,0.034,0.011,0.053,0.021,0.009,0.091,0.039,0.006,0.002,0.042,0.056,0.001,0.001
"1051","0","0",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"1053","0","0",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"1054","0","0",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.509,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"1052","0","0",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"952","560","1832",34.304,3.445,27806.739,88522.619,21.093,0.276,0.047,0.673,0.842,0.155,3.521,0.502,0.047,0.051,0.043,0.015,0.038,0.010,0.079,0.096,0.068,0.095,0.068,0.059,0.031,0.029,0.070,0.066,0.021,0.007,0.026,0.078,0.001,0.001
"951","537","1609",34.409,3.108,27728.171,77694.944,21.156,0.278,0.049,0.675,0.845,0.155,4.527,0.504,0.046,0.050,0.086,0.024,0.019,0.003,0.069,0.157,0.042,0.064,0.036,0.068,0.022,0.012,0.091,0.078,0.008,0.005,0.040,0.072,0.002,0.000
"722","729","2212",34.375,3.287,24964.426,82149.207,21.134,0.276,0.047,0.674,0.844,0.155,3.521,0.502,0.047,0.053,0.031,0.012,0.037,0.012,0.081,0.083,0.091,0.167,0.093,0.058,0.023,0.021,0.051,0.062,0.008,0.004,0.024,0.036,0.000,0.003
"723","693","2079",34.373,3.469,25667.884,88807.201,21.136,0.277,0.048,0.674,0.843,0.156,2.012,0.503,0.046,0.055,0.016,0.009,0.041,0.013,0.076,0.042,0.117,0.220,0.111,0.040,0.021,0.031,0.049,0.043,0.011,0.004,0.018,0.032,0.000,0.006
"530","544","1204",38.926,2.318,18857.743,43574.338,280.304,0.205,0.098,0.696,0.945,0.055,3.024,0.519,0.092,0.103,0.123,0.034,0.017,0.002,0.132,0.144,0.049,0.041,0.004,0.052,0.015,0.003,0.080,0.049,0.006,0.001,0.024,0.033,0.000,0.000
"1014","563","1232",38.489,2.250,17822.911,40156.088,277.293,0.201,0.096,0.687,0.936,0.053,6.012,0.511,0.100,0.102,0.131,0.038,0.014,0.001,0.132,0.141,0.047,0.040,0.005,0.045,0.011,0.001,0.075,0.032,0.003,0.001,0.024,0.038,0.000,0.000
"1013","582","1213",40.545,2.174,19627.374,42578.531,263.896,0.165,0.122,0.715,0.933,0.067,1.530,0.532,0.113,0.119,0.128,0.038,0.016,0.002,0.150,0.128,0.050,0.038,0.005,0.035,0.010,0.002,0.077,0.029,0.005,0.002,0.019,0.033,0.000,0.000
"1016","545","1332",31.513,2.194,13239.640,33221.147,258.940,0.220,0.060,0.576,0.826,0.031,6.012,0.428,0.066,0.070,0.089,0.037,0.012,0.001,0.097,0.128,0.040,0.032,0.006,0.052,0.019,0.005,0.072,0.028,0.005,0.001,0.031,0.053,0.000,0.000
"627","591","1301",37.163,2.280,15599.448,35971.420,282.640,0.220,0.085,0.669,0.933,0.044,8.004,0.497,0.104,0.116,0.109,0.037,0.015,0.001,0.145,0.119,0.045,0.026,0.003,0.043,0.014,0.002,0.074,0.028,0.003,0.001,0.029,0.048,0.000,0.000
"622","431","1317",40.766,3.260,27517.000,68791.000,261.652,0.159,0.124,0.717,0.931,0.069,0.534,0.534,0.081,0.097,0.107,0.039,0.009,0.000,0.063,0.223,0.032,0.021,0.000,0.072,0.012,0.007,0.084,0.051,0.009,0.000,0.012,0.060,0.021,0.000
"601","702","1806",35.479,2.595,13520.440,35203.158,297.693,0.260,0.062,0.651,0.941,0.033,6.474,0.483,0.077,0.090,0.084,0.026,0.018,0.003,0.127,0.131,0.040,0.032,0.009,0.069,0.018,0.005,0.078,0.053,0.005,0.005,0.034,0.056,0.001,0.000
"602","554","1456",38.526,2.728,11819.739,31680.360,351.799,0.205,0.099,0.695,0.835,0.162,14.061,0.513,0.066,0.071,0.113,0.032,0.017,0.000,0.111,0.156,0.039,0.028,0.005,0.060,0.018,0.005,0.086,0.032,0.006,0.002,0.049,0.086,0.000,0.000
"628","584","1421",35.078,2.445,13984.922,34982.741,294.330,0.257,0.062,0.643,0.930,0.033,11.454,0.477,0.081,0.093,0.104,0.031,0.014,0.000,0.120,0.138,0.040,0.027,0.003,0.063,0.018,0.003,0.078,0.043,0.003,0.000,0.034,0.056,0.000,0.000
"525","536","1354",38.480,2.546,15246.857,38273.784,355.464,0.191,0.103,0.692,0.811,0.176,11.155,0.516,0.063,0.060,0.115,0.033,0.013,0.000,0.099,0.206,0.036,0.028,0.002,0.063,0.018,0.003,0.092,0.036,0.007,0.001,0.039,0.063,0.000,0.001
"524","574","1503",39.718,2.736,11563.759,31084.874,383.759,0.153,0.122,0.708,0.728,0.255,15.508,0.526,0.081,0.076,0.113,0.028,0.014,0.001,0.116,0.141,0.044,0.024,0.000,0.057,0.019,0.001,0.082,0.032,0.007,0.000,0.048,0.091,0.001,0.000
"526","442","1089",38.305,2.438,17303.188,42412.114,351.729,0.198,0.100,0.690,0.821,0.166,8.296,0.513,0.044,0.044,0.134,0.036,0.011,0.001,0.077,0.272,0.035,0.028,0.003,0.061,0.012,0.002,0.095,0.037,0.004,0.001,0.034,0.043,0.000,0.001
"527","509","1256",36.230,2.485,16580.164,41454.782,307.108,0.255,0.068,0.663,0.942,0.046,8.507,0.490,0.059,0.052,0.125,0.039,0.012,0.001,0.100,0.213,0.033,0.028,0.004,0.073,0.012,0.003,0.087,0.055,0.002,0.001,0.036,0.045,0.001,0.000
"528","554","1338",36.171,2.463,15759.625,39074.927,303.500,0.267,0.066,0.662,0.960,0.033,8.964,0.492,0.066,0.066,0.127,0.036,0.013,0.001,0.106,0.183,0.045,0.032,0.004,0.062,0.018,0.004,0.087,0.049,0.004,0.000,0.030,0.045,0.000,0.000
"529","586","1449",35.771,2.507,14420.041,36375.221,300.138,0.261,0.063,0.657,0.949,0.033,8.964,0.487,0.064,0.075,0.121,0.036,0.014,0.000,0.108,0.169,0.047,0.032,0.004,0.051,0.019,0.003,0.086,0.034,0.004,0.000,0.035,0.060,0.000,0.000
"1019","519","1343",36.427,2.683,19403.108,47364.614,305.638,0.267,0.065,0.668,0.967,0.033,2.490,0.497,0.095,0.122,0.063,0.028,0.016,0.008,0.101,0.155,0.052,0.068,0.009,0.065,0.018,0.003,0.079,0.059,0.002,0.001,0.030,0.024,0.003,0.001
"1018","496","1225",35.735,2.505,16300.724,41281.727,299.830,0.262,0.064,0.655,0.949,0.032,5.478,0.487,0.064,0.072,0.094,0.032,0.015,0.004,0.102,0.194,0.041,0.045,0.009,0.070,0.014,0.003,0.108,0.034,0.003,0.001,0.040,0.031,0.001,0.000
"605","638","1619",38.821,2.590,12592.279,32906.176,258.447,0.151,0.109,0.722,0.722,0.257,10.425,0.537,0.081,0.085,0.103,0.028,0.021,0.002,0.123,0.112,0.048,0.035,0.007,0.062,0.023,0.007,0.076,0.040,0.004,0.001,0.040,0.067,0.000,0.000
"604","594","1512",39.871,2.568,13004.847,33904.618,389.866,0.139,0.128,0.707,0.700,0.277,11.319,0.528,0.081,0.077,0.108,0.029,0.017,0.001,0.112,0.126,0.046,0.035,0.006,0.057,0.024,0.004,0.077,0.040,0.006,0.000,0.040,0.072,0.000,0.000
